Question,Answer
What is SRM Institute of Science and Technology?,"SRM Institute of Science and Technology (SRMIST) is a deemed-to-be university located in Chennai, Tamil Nadu, India. It offers a wide range of undergraduate, postgraduate, and doctoral programs across various disciplines including Engineering, Management, Medicine, Pharmacy, and more. | SRM Institute of Science and Technology (SRMIST) is a deemed-to-be university located in Chennai, Tamil Nadu. It offers undergraduate, postgraduate, and doctoral programs across Engineering, Medicine, Management, Science, and more."
Where is SRMIST located?,"SRMIST's main campus is located in Kattankulathur, Chengalpattu District, Tamil Nadu - 603203, India. | SRM Institute of Science and Technology is located at Kattankulathur – 603203, Tamil Nadu, India. | CeMAT is located at H104, First Floor, Hi-Tech Building, Main Campus, SRM Institute of Science and Technology, Kattankulathur Campus, Chengalpattu – 603203, Tamil Nadu, India. | SRM-CIT is located in the Tech Park at SRMIST Campus, Kattankulathur – 603203, Tamil Nadu, India. | The main campus is located at Kattankulathur, Chengalpattu District, Tamil Nadu - 603203, India. | Faculty of Science & Humanities, SRM Institute of Science and Technology, Kattankulathur – 603203 | SRMCOT is located on the 4th Floor, C-Block, SRM Medical College Hospital and Research Centre, Potheri, Kattankulathur. | Main Campus, SRM Institute of Science and Technology, Kattankulathur – 603203. | Annexure – I, SRM Institute of Science and Technology, Kattankulathur – 603203. | Road and Sports Area, SRM Institute of Science and Technology, Kattankulathur – 603203. | Main Campus Entrance Gate, SRM Institute of Science and Technology, Kattankulathur – 603203. | SRM Institute of Science and Technology is located at Kattankulathur, Chengalpattu District, Tamil Nadu, India."
What courses does SRMIST offer?,"SRMIST offers programs in Engineering, Medicine, Pharmacy, Management, Law, Science, and more across its various campuses. | SRMIST offers programs in Engineering, Medicine, Pharmacy, Management, Law, Science, and more across its multiple campuses."
When was SRMIST established?,"SRMIST traces its origin back to 1969 when it was established as Florence Nightingale Primary School in West Mambalam, Chennai. | CeMAT was established in 2018. | SRMIST traces its origin back to 1969 as Florence Nightingale Primary School in West Mambalam, Chennai. | SRMIST was established in 1985. | SRMIST was established in 1985 as SRM Engineering College. | SRMCOT was established in 1996."
When did SRM become a deemed university?,"In 2002, the University Grants Commission (UGC) conferred 'Deemed to be University' status on SRMIST. | Yes, in 2002, UGC declared SRM as a deemed-to-be university under Section 3 of the UGC Act 1956. | SRM became a deemed-to-be university in 2002 under Section 3 of the UGC Act 1956."
What are the objectives of SRMIST?,"The objectives of SRMIST include imparting value-based education, promoting innovation and entrepreneurship, encouraging interdisciplinary research, and collaborating globally for academic excellence. | Impart value-based education, promote innovation and entrepreneurship, encourage interdisciplinary research, and collaborate globally for academic excellence."
What is the mission of SRMIST?,To provide quality education and foster research in emerging technologies and sciences for the betterment of society.
What is the vision of SRMIST?,"To become a global leader in technical and professional education through excellence in teaching, learning, and research. | Founded in 1969 as Florence Nightingale School in West Mambalam, Chennai, SRM has grown into a multi-campus university offering world-class education. In 2002, the UGC conferred 'Deemed to be University' status to SRMIST. | To create a holistic environment for electronics system design, fabrication, and test facilities to upskill budding researchers, engineers, and professionals while offering consultancy services. | To be a leading research center pioneering innovative materials that drive sustainable development through cutting-edge research, education, and global collaboration. | To become a globally recognized center for stimulating innovative research, development, education, and leadership in composites and advanced materials while imparting professional and human values for societal upliftment. | To be at the forefront of X-reality (XR) education and research, creating an environment where students, researchers, and industrial partners can innovate and collaborate using immersive technologies. | To foster interdisciplinary research that contributes to national and international discourse on defence, security, and global affairs. | SRMIST is committed to excellence in research across Science, Technology, Humanities, and Social Responsibility, aiming to address 21st-century challenges through interdisciplinary work. | The vision of SRMCOT is to guide students through a distinct learning process that promotes individualized skill training via hands-on practice in emerging service areas. | The mission of SRMCOT is to impart professional aptitude, provide research-oriented learning, enrich ethical values, and promote wellness among future professionals. | To become a leading hub for innovation and entrepreneurship that empowers students to create value-driven ventures aligned with global standards."
Who is the Chancellor of SRMIST?,"The information about the current Chancellor is not specified, but the Chancellor emphasizes nurturing talent, encouraging creativity, and preparing students to meet global challenges."
What message does the Chancellor have for students?,"At SRMIST, we believe in nurturing talent, encouraging creativity, and preparing students to meet global challenges. Our focus is on holistic development and empowering our students to become future leaders."
